"shelf","title","author_or_editor","year_or_period","file_type","project_use","path"
"Lebanon_History_Sectarianism","A History of Modern Lebanon","Fawwaz Traboulsi","2009","epub","Lebanese historical spine for state sect war and political economy","/Users/karimsalam/Documents/Books/Lebanon_History_Sectarianism/A History of Modern Lebanon - Fawwaz Traboulsi (2009).epub"
"Lebanon_History_Sectarianism","An Occasion for War","Leila Tarazi Fawaz","1995","pdf","Mount Lebanon and Damascus war context for sectarian formation","/Users/karimsalam/Documents/Books/Lebanon_History_Sectarianism/An Occasion for War - Civil Conflict in Lebanon and Damascus - Leila Tarazi Fawaz (1995).pdf"
"Lebanon_History_Sectarianism","Everyday Sectarianism in Urban Lebanon","Joanne Nucho","2016","pdf","Dailiness infrastructure and sectarian life in ordinary urban systems","/Users/karimsalam/Documents/Books/Lebanon_History_Sectarianism/Everyday Sectarianism in Urban Lebanon - Joanne Nucho (2016).pdf"
"Lebanon_History_Sectarianism","Sextarianism","Maya Mikdashi","2022","pdf","Sovereignty secularism gender law and Lebanese state intimacy","/Users/karimsalam/Documents/Books/Lebanon_History_Sectarianism/Sextarianism - Sovereignty, Secularism, and the State in Lebanon - Maya Mikdashi (2022).pdf"
"Lebanon_History_Sectarianism","Spoils of Truce","Reinoud Leenders","2017","pdf","Postwar corruption state-building and the cartel after Taif","/Users/karimsalam/Documents/Books/Lebanon_History_Sectarianism/Spoils of Truce - Corruption and State-Building in Postwar Lebanon.pdf"
"Lebanon_History_Sectarianism","The Culture of Sectarianism","Ussama Makdisi","2000","pdf","Modern production of sectarianism and 1860 as political formation","/Users/karimsalam/Documents/Books/Lebanon_History_Sectarianism/The Culture of Sectarianism - Ussama Makdisi (2000).pdf"
"Lebanon_History_Sectarianism","The Formation of Modern Lebanon","Unknown","modern Lebanon","pdf","State formation and identity background","/Users/karimsalam/Documents/Books/Lebanon_History_Sectarianism/The Formation of Modern Lebanon.pdf"
"Lebanon_History_Sectarianism","The Politics of Sectarianism in Postwar Lebanon","Bassel Salloukh et al","postwar","pdf","Postwar power-sharing and sectarian reproduction","/Users/karimsalam/Documents/Books/Lebanon_History_Sectarianism/The Politics of Sectarianism in Postwar Lebanon - Bassel Salloukh et al.pdf"
"Palestine_Israel_Zionism","A Very Short History of the Israel-Palestine Conflict","Ilan Pappe","2024","epub","Compact spine for Palestine origin story and Lebanon links","/Users/karimsalam/Documents/Books/Palestine_Israel_Zionism/A Very Short History of the Israel-Palestine Conflict - Ilan Pappe (2024).epub"
"Palestine_Israel_Zionism","Justice for Some","Noura Erakat","2019","pdf","Law occupation and Palestinian legal struggle","/Users/karimsalam/Documents/Books/Palestine_Israel_Zionism/Justice for Some - Law and the Question of Palestine - Noura Erakat (2019).pdf"
"Palestine_Israel_Zionism","Lobbying for Zionism on Both Sides of the Atlantic","Ilan Pappe","2024","epub","Western political infrastructure of Zionist support","/Users/karimsalam/Documents/Books/Palestine_Israel_Zionism/Lobbying for Zionism on Both Sides of the Atlantic - Ilan Pappe (2024).epub"
"Palestine_Israel_Zionism","The Ethnic Cleansing of Palestine","Ilan Pappe","2007","mobi","Nakba expulsion and settler-colonial frame","/Users/karimsalam/Documents/Books/Palestine_Israel_Zionism/The Ethnic Cleansing of Palestine - Ilan Pappe (2007).mobi"
"Palestine_Israel_Zionism","The Hundred Years' War on Palestine","Rashid Khalidi","2020","epub","Palestinian history across empire Zionism war and diplomacy","/Users/karimsalam/Documents/Books/Palestine_Israel_Zionism/The Hundred Years' War on Palestine - Rashid Khalidi (2020).epub"
"Palestine_Israel_Zionism","The Iron Wall","Avi Shlaim","updated","fb2","Israeli strategic doctrine and Arab world relations","/Users/karimsalam/Documents/Books/Palestine_Israel_Zionism/The Iron Wall - Israel and the Arab World - Avi Shlaim.fb2"
"Palestine_Israel_Zionism","The Killing of Gaza","Gideon Levy","2024","epub","Israeli violence in Gaza through witness and indictment","/Users/karimsalam/Documents/Books/Palestine_Israel_Zionism/The Killing of Gaza - Gideon Levy (2024).epub"
"Palestine_Israel_Zionism","The Question of Palestine","Edward Said","1979","pdf","Foundational Palestinian political and intellectual argument","/Users/karimsalam/Documents/Books/Palestine_Israel_Zionism/The Question of Palestine - Edward Said (1979).pdf"
"Hezbollah_Resistance","Hezbollah - The Political Economy of Lebanon's Party of God","Joseph Daher","2016","pdf","Hezbollah as class party service network and political economy","/Users/karimsalam/Documents/Books/Hezbollah_Resistance/Hezbollah - The Political Economy of Lebanon's Party of God - Joseph Daher (2016).pdf"
"Mehdi_Amel_OCR_Translations","Sectarianism in a Sectarian State","Mehdi Amel","Arabic OCR txt","txt","Core theory of sectarian state and class power","/Users/karimsalam/Documents/Books/Mehdi_Amel_OCR_Translations/Sectarianism in a Sectarian State - Mehdi Amel.txt"
"Mehdi_Amel_OCR_Translations","Sectarianism in the Sectarian State","Mehdi Amel","Arabic","pdf","Arabic source scan for Amel state theory","/Users/karimsalam/Documents/Books/Mehdi_Amel_OCR_Translations/Sectarianism in the Sectarian State - Mehdi Amel.pdf"
"Mehdi_Amel_OCR_Translations","Introduction to Critique of Sectarianism - Arabic OCR","Mehdi Amel","Arabic OCR","txt","Searchable Arabic OCR for Amel critique","/Users/karimsalam/Documents/Books/Mehdi_Amel_OCR_Translations/Introduction to Critique of Sectarianism - Arabic OCR.txt"
"Mehdi_Amel_OCR_Translations","Introduction to Critique of Sectarianism - The Palestinian Cause in the Ideology of the Lebanese Bourgeoisie","Mehdi Amel","Arabic","pdf","Palestine in Lebanese bourgeois ideology","/Users/karimsalam/Documents/Books/Mehdi_Amel_OCR_Translations/Introduction to Critique of Sectarianism - The Palestinian Cause in the Ideology of the Lebanese Bourgeoisie.pdf"
"Mehdi_Amel_OCR_Translations","Introduction to the Critique of Sectarianism in the Sectarian State","Mehdi Amel","Arabic","pdf","Companion theory for sectarian state critique","/Users/karimsalam/Documents/Books/Mehdi_Amel_OCR_Translations/Introduction to the Critique of Sectarianism in the Sectarian State.pdf"
"Mehdi_Amel_OCR_Translations","Mehdi Amel - Fi al-Dawla al-Taifiyya - Clear Reading Copy","Mehdi Amel","Arabic","pdf","Readable Arabic copy for close reading","/Users/karimsalam/Documents/Books/Mehdi_Amel_OCR_Translations/Mehdi Amel - Fi al-Dawla al-Taifiyya - Clear Reading Copy.pdf"
"Root","Citizen Hariri","Hannes Baumann","2016","pdf","Hariri reconstruction finance and postwar political economy","/Users/karimsalam/Documents/Books/Citizen Hariri _ Lebanon's Neo-Liberal Reconstruction -- Baumann, Hannes;Ḥarīrī, Rafīq Bahāʼ -- 1, 2016 -- IRL Press at Oxford University Press -- isbn13 9780190687168 -- 09a31c4c349ce0df6b540df5e15adfea -- Anna’s Archive.pdf"
"Root","Continuity and Admixture in the Last Five Millennia","Marc Haber et al","2017","pdf","Genetics ancestry and identity caution for civilizational essays","/Users/karimsalam/Documents/Books/Continuity and Admixture in the Last Five Millennia of -- Marc Haber & Claude Doumet-Serhal & Christiana Scheib & Yali -- 2017 -- ElsevierCompany_ -- e9b0af3de40a615fdeb374c55be8c1b6 -- Anna’s Archive.pdf"
"Root","Going all the way","Jonathan C. Randal","1983","pdf","Lebanese war witness Christian warlords and Israeli involvement","/Users/karimsalam/Documents/Books/Going all the way _ Christian warlords, Israeli adventurers, -- Randal, Jonathan C_, 1933- -- New York, New York State, 1983 -- New York _ Viking -- isbn13 9780670422593 -- ad7621e2b6cd71ba5df3650fb30a83c2 -- Anna’s Archive.pdf"
"Root","Hizbullah - The Story From Within","Naim Qassem","2012","pdf","Hezbollah self-description and internal political language","/Users/karimsalam/Documents/Books/Hizbullah (hezbollah)_ The Story From Within -- Naim Qassem; translated from the Arabic by Dalia Khalil -- London, 2012 -- Saqi Books -- isbn13 9780863565175 -- 4e4ff9dc371c921ab83249186b3a505e -- Anna’s Archive.pdf"
"Root","Pity the nation","Robert Fisk","2006","mobi","Lebanon war witness Israeli invasion and Beirut under fire","/Users/karimsalam/Documents/Books/Pity the nation _ Lebanon at war -- Robert Fisk -- 2006 -- Oxford University Press, USA -- isbn13 9780192801302 -- 57da4b01678d6d7f067cf421505ab5a3 -- Anna’s Archive.mobi"
"Root","Pluralism and party transformation in Lebanon","John Pierre Entelis","Brill","pdf","Kataeb party transformation and Lebanese pluralism","/Users/karimsalam/Documents/Books/Pluralism and party transformation in Lebanon__ Al-Kataʼib, -- John Pierre Entelis -- Etudes sociales, économiques et politiques du Moyen -- Brill -- isbn13 9789004039117 -- 45a2075264acfde028e06eb63104d102 -- Anna’s Archive.pdf"
"Root","Reviving Phoenicia","Asher S. Kaufman","2014","pdf","Phoenicianism identity and Lebanese national imagination","/Users/karimsalam/Documents/Books/Reviving Phoenicia _ The Search for Identity in Lebanon -- Asher S_ Kaufman -- New paperback ed_ 1_ publ, London, 2014 -- I_ B_ Tauris -- isbn13 9780755608621 -- 1b132365f494f50929846c3af9acaf22 -- Anna’s Archive.pdf"
"Root","Spoils of Truce","Reinoud Leenders","2017","pdf","Duplicate or loose postwar corruption copy for review","/Users/karimsalam/Documents/Books/Spoils of Truce _ Corruption and State-Building in Postwar -- Leenders, Reinoud -- 2017 dec 31 -- Cornell University Press -- isbn13 9780801451003 -- 6bc1cb4dcb48f7b26199ec2804159571 -- Anna’s Archive.pdf"
"Root","The Genesis of Nations","Antoun Saadeh","2004","pdf","Syrian Social Nationalist theory identity and nation formation","/Users/karimsalam/Documents/Books/The Genesis of Nations -- Antoun Saadeh -- 2004 -- Department of Culture of the Syrian Social Nationalist Party -- 660259959c5974b2122848a87f9258ef -- Anna’s Archive.pdf"
"Root","The Vanished Imam","Fouad Ajami","2017","pdf","Musa al-Sadr Shia politics and South Lebanon context","/Users/karimsalam/Documents/Books/The Vanished Imam _ Musa Al Sadr and the Shia of Lebanon -- Ajami, Fouad -- 2017 dec 31 -- Cornell University Press -- isbn13 9780801419102 -- ec469951d60f460732c9d37a96b9c9a7 -- Anna’s Archive.pdf"
"Root","The precarious republic","Michael C. Hudson","classic","pdf","Lebanese political modernization and fragile republic","/Users/karimsalam/Documents/Books/The precarious republic ; political modernization in Lebanon -- [by] Michael C_ Hudson_ Consulting editor_ Leonard Binder -- New York, New York State, -- oclc 443795 -- eaa267f6e51ef4980d017efc776565b8 -- Anna’s Archive.pdf"
"00_Duplicates_To_Review","A Very Short History of the Israel-Palestine Conflict - duplicate","Ilan Pappe","2024","epub","Duplicate kept for review not deletion","/Users/karimsalam/Documents/Books/00_Duplicates_To_Review/A Very Short History of the Israel-Palestine Conflict - Ilan Pappe (2024) - duplicate.epub"
"00_Duplicates_To_Review","Lobbying for Zionism on Both Sides of the Atlantic - duplicate","Ilan Pappe","2024","epub","Duplicate kept for review not deletion","/Users/karimsalam/Documents/Books/00_Duplicates_To_Review/Lobbying for Zionism on Both Sides of the Atlantic - Ilan Pappe (2024) - duplicate.epub"
