upload_date,title,channel,url,video_id,duration,subtitle_language,word_count_estimate,raw_vtt,transcript_txt,metadata_json,status,saved_at
2026-06-25,مفاوضات الصورة التذكارية: لا حرب شاملة ولا انسحاب كامل,Jad Ghosn,https://www.youtube.com/watch?v=lwa9NNNBw_I,lwa9NNNBw_I,42:39,ar-orig,5286,vtt/20260625 - مفاوضات الصورة التذكارية： لا حرب شاملة ولا انسحاب كامل [lwa9NNNBw_I].ar-orig.vtt,transcripts_txt/20260625 - مفاوضات الصورة التذكارية： لا حرب شاملة ولا انسحاب كامل [lwa9NNNBw_I].txt,metadata_json/20260625 - مفاوضات الصورة التذكارية： لا حرب شاملة ولا انسحاب كامل [lwa9NNNBw_I].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-06-15,"بعد الاتفاق، في لبنان السياديون والسياديون ""عنجد"" ينتظرون ما سيفرض عليهم",Jad Ghosn,https://www.youtube.com/watch?v=nqkd_7s2zMo,nqkd_7s2zMo,25:30,ar-orig,3075,vtt/20260615 - بعد الاتفاق، في لبنان السياديون والسياديون ＂عنجد＂ ينتظرون ما سيفرض عليهم [nqkd_7s2zMo].ar-orig.vtt,transcripts_txt/20260615 - بعد الاتفاق، في لبنان السياديون والسياديون ＂عنجد＂ ينتظرون ما سيفرض عليهم [nqkd_7s2zMo].txt,metadata_json/20260615 - بعد الاتفاق، في لبنان السياديون والسياديون ＂عنجد＂ ينتظرون ما سيفرض عليهم [nqkd_7s2zMo].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-05-26,هل عاد لبنان الى ساحة اختبار لصراعات المنطقة؟,Jad Ghosn,https://www.youtube.com/watch?v=loW3EWpv0r4,loW3EWpv0r4,26:12,ar-orig,3248,vtt/20260526 - هل عاد لبنان الى ساحة اختبار لصراعات المنطقة؟ [loW3EWpv0r4].ar-orig.vtt,transcripts_txt/20260526 - هل عاد لبنان الى ساحة اختبار لصراعات المنطقة؟ [loW3EWpv0r4].txt,metadata_json/20260526 - هل عاد لبنان الى ساحة اختبار لصراعات المنطقة؟ [loW3EWpv0r4].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-05-22,ذروة الضغوط الاميركية، عقوبات تستهدف ضباطا في الجيش والامن العام,Jad Ghosn,https://www.youtube.com/watch?v=onYqeMC9-Js,onYqeMC9-Js,25:31,ar-orig,3095,vtt/20260522 - ذروة الضغوط الاميركية، عقوبات تستهدف ضباطا في الجيش والامن العام [onYqeMC9-Js].ar-orig.vtt,transcripts_txt/20260522 - ذروة الضغوط الاميركية، عقوبات تستهدف ضباطا في الجيش والامن العام [onYqeMC9-Js].txt,metadata_json/20260522 - ذروة الضغوط الاميركية، عقوبات تستهدف ضباطا في الجيش والامن العام [onYqeMC9-Js].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-05-14,هل الفدرالية هي الحل للبنان؟,Jad Ghosn,https://www.youtube.com/watch?v=VE_mXLJS4s0,VE_mXLJS4s0,23:06,ar-orig,2591,vtt/20260514 - هل الفدرالية هي الحل للبنان؟ [VE_mXLJS4s0].ar-orig.vtt,transcripts_txt/20260514 - هل الفدرالية هي الحل للبنان؟ [VE_mXLJS4s0].txt,metadata_json/20260514 - هل الفدرالية هي الحل للبنان؟ [VE_mXLJS4s0].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-05-07,٢٤ ساعة حاسمة لتحديد ما هو قادم,Jad Ghosn,https://www.youtube.com/watch?v=QZqrG6YxK10,QZqrG6YxK10,19:27,ar-orig,2197,vtt/20260507 - ٢٤ ساعة حاسمة لتحديد ما هو قادم [QZqrG6YxK10].ar-orig.vtt,transcripts_txt/20260507 - ٢٤ ساعة حاسمة لتحديد ما هو قادم [QZqrG6YxK10].txt,metadata_json/20260507 - ٢٤ ساعة حاسمة لتحديد ما هو قادم [QZqrG6YxK10].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-04-24,هل من تسوية سياسية للبنان يعمل عليها في الكواليس؟,Jad Ghosn,https://www.youtube.com/watch?v=a3XrUxzz4nc,a3XrUxzz4nc,27:19,ar-orig,3185,vtt/20260424 - هل من تسوية سياسية للبنان يعمل عليها في الكواليس؟ [a3XrUxzz4nc].ar-orig.vtt,transcripts_txt/20260424 - هل من تسوية سياسية للبنان يعمل عليها في الكواليس؟ [a3XrUxzz4nc].txt,metadata_json/20260424 - هل من تسوية سياسية للبنان يعمل عليها في الكواليس؟ [a3XrUxzz4nc].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-04-14,اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان,Jad Ghosn,https://www.youtube.com/watch?v=YaFeUPIgBaM,YaFeUPIgBaM,21:02,ar-orig,2352,vtt/20260414 - اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان [YaFeUPIgBaM].ar-orig.vtt,transcripts_txt/20260414 - اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان [YaFeUPIgBaM].txt,metadata_json/20260414 - اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان [YaFeUPIgBaM].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-04-10,من المنتصر ومن المهزوم واين لبنان من تسويات باكستان؟,Jad Ghosn,https://www.youtube.com/watch?v=5BGEfUOl1aQ,5BGEfUOl1aQ,26:04,ar-orig,3032,vtt/20260410 - من المنتصر ومن المهزوم واين لبنان من تسويات باكستان؟ [5BGEfUOl1aQ].ar-orig.vtt,transcripts_txt/20260410 - من المنتصر ومن المهزوم واين لبنان من تسويات باكستان؟ [5BGEfUOl1aQ].txt,metadata_json/20260410 - من المنتصر ومن المهزوم واين لبنان من تسويات باكستان؟ [5BGEfUOl1aQ].ar-orig.info.json,saved,2026-06-26T03:02:25
2026-03-30,“المهادنة ليست سلامًا؛ إنها إطعام التمساح على أمل أن يؤجل التهامك”,Jad Ghosn,https://www.youtube.com/watch?v=_7fK9cANTgw,_7fK9cANTgw,52:37,ar-orig,6508,vtt/20260330 - “المهادنة ليست سلامًا؛ إنها إطعام التمساح على أمل أن يؤجل التهامك” [_7fK9cANTgw].ar-orig.vtt,transcripts_txt/20260330 - “المهادنة ليست سلامًا؛ إنها إطعام التمساح على أمل أن يؤجل التهامك” [_7fK9cANTgw].txt,metadata_json/20260330 - “المهادنة ليست سلامًا؛ إنها إطعام التمساح على أمل أن يؤجل التهامك” [_7fK9cANTgw].ar-orig.info.json,saved,2026-06-26T03:02:25
