date,account,handle,language,stance_bucket,post_url,views,replies,reposts,likes,bookmarks_or_other,topic,what_the_post_claims,source_limit_note
2026-04-03,Emanuel Mannie Fabian,manniefabian,English,Israeli journalist / IDF-framed,https://x.com/manniefabian/status/2040075768328331305,87000,13,129,664,95,FPV drone cache,"Israeli troops captured a Hezbollah FPV drone cache in southern Lebanon, framed as an IDF operational success.","Indexed X page exposed full visible metrics."
2026-04-02,Justin Leopold-Cohen,jleopoldcohen,English,Pro-Israel policy / threat framing,https://x.com/jleopoldcohen/status/2039817649585066218,1366,4,7,,,"FPV threat framing","Hezbollah's FPV increase is linked to broader Iranian-proxy FPV use against US facilities.","Indexed metrics incomplete."
2026-03-15,L'Orient Today,lorienttoday,English,Lebanese press / Hezbollah regeneration,https://x.com/lorienttoday/status/2033143402691260582,34400,7,66,125,53,Hezbollah rebuilding,"Hezbollah cooperated publicly with the Lebanese state while rebuilding drones and forces behind the scenes.","Indexed X page exposed visible metrics."
2026-04-08,John Spencer,SpencerGuard,English,Pro-Israel military framing,https://x.com/SpencerGuard/status/2041922686876528680,16900,22,106,671,15,Justification language,"Amplifies IDF line: Israel is fighting Hezbollah, not the people of Lebanon.","Indexed X page exposed visible metrics."
2026-04-08,Hala Jaber,HalaJaber,English,Anti-Israel / critical,https://x.com/HalaJaber/status/2042043937892753496,,29,469,605,58,Israeli strike campaign,"Quotes Israel Katz boasting about surprise strikes on Hezbollah operatives and command centers across Lebanon.","Indexed X page exposed engagement but not views."
2026-04-03,Al-Manar English,manarenglish,English,Resistance-aligned,https://x.com/manarenglish/status/2040010320299602073,14100,7,108,496,30,Attrition / disarmament,"Frames Israel as backing down from disarming Hezbollah after ground setbacks and attrition in South Lebanon.","Indexed X page exposed visible metrics."
2026-04-09,This Is Beirut,ThisIsBeirut_,English,Lebanese press / IDF claim relay,https://x.com/ThisIsBeirut_/status/2042237323031572926,,,,,,Lebanese state / disarmament,"Relays Avichay Adraee's claim that the Lebanese state failed to disarm Hezbollah south of the Litani.","Indexed result did not expose engagement metrics."
2026-03-16,AFP,AFP,English,Wire service / neutral report,https://x.com/AFP/status/2033551389536772348,15000,3,35,77,6,Ground operation,"Reports that Israel began limited ground operations and Katz said displaced Israelis would not return until the north was secure.","Indexed X page exposed visible metrics."
2026-02-24,Iran International English,IranIntl_En,English,Anti-Iran / Israeli warning relay,https://x.com/IranIntl_En/status/2026254503817724366,13200,2,31,105,1,Threats to Lebanon,"Reports Israeli warning that Lebanon, including civilian infrastructure such as the airport, could be hit hard if Hezbollah joined a US-Iran war.","Indexed X page exposed visible metrics."
2026-03-25,Government Press Office Israel,GPOIsrael,English translation from Hebrew,Israeli official,https://x.com/GPOIsrael/status/2036865441142903287,614,3,13,13,1,Security buffer / official strategy,"Netanyahu says Israel removed most of Hezbollah's rocket and Radwan threat, created a real security buffer, and is expanding it to push anti-tank fire away.","Indexed X page exposed visible metrics."
2026-03-22,N12 News,N12News,Hebrew,Israeli mainstream media,https://x.com/N12News/status/2035701349665448235,12100,,,,,Hebrew strike framing,"Hebrew post says the IDF opened a broad wave of strikes against Hezbollah infrastructure in southern Lebanon.","Indexed result exposed views but not full engagement."
2026-04-12,CGTN Europe,CGTNEurope,English,UNIFIL / critical of Israeli obstruction,https://x.com/CGTNEurope/status/2043372461194936398,274,,,,,UNIFIL obstruction,"Posts UNIFIL statement that Israeli forces rammed UNIFIL vehicles, fired warning shots, blocked movement, and destroyed cameras near Naqoura and other positions.","Indexed result exposed views only."
2026-03-18,UNIFIL,UNIFIL_,English,UN / neutral warning,https://x.com/UNIFIL_/status/2034265052778213683,4700,5,14,37,2,Israeli presence inside Lebanon,"Warns that heavy exchanges of fire and increased Israeli forces inside Lebanese territory are deeply concerning.","Indexed X page exposed visible metrics."
2026-04-07,Aditya Raj Kaul,AdityaRajKaul,English,Pro-Israel relay / military update,https://x.com/AdityaRajKaul/status/2041432950613721273,13700,6,39,260,3,Ground campaign / anti-tank line,"Reports IDF expanded ground campaign, deployed sixth division, and positioned forces along an anti-tank line several kilometers into Lebanon.","Indexed X page exposed visible metrics."
2026-03-20,Israel Defense Forces,IDF,English,Israeli official,https://x.com/IDF/status/2034966814455669158,94500,112,,,,Official target count,"Claims targeted ground operations, more than 2,000 Hezbollah targets struck, and 570 Hezbollah fighters killed as part of a forward defensive effort.","Indexed result exposed views and replies only."
2026-03-13,CGTN Europe,CGTNEurope,English,IDF statement relay,https://x.com/CGTNEurope/status/2032509844503015899,383,,,,,Official target count / command degradation,"Relays IDF claim that Operation Roaring Lion eliminated over 350 Hezbollah operatives and degraded Hezbollah command and firepower.","Indexed result exposed views only."
2026-03-06,Hala Jaber,HalaJaber,English,Anti-Israel / critical,https://x.com/HalaJaber/status/2030098530874913182,17800,31,107,10,,Khiyam / ambush reports,"Reports Israeli media claims of a difficult security incident near Khiyam and possible Hezbollah/Radwan ambush with Kornet missiles, while flagging uncertainty.","Indexed metrics appear incomplete or inconsistently ordered."
2026-02-04,Middle East Observer,ME_Observer_,English,Anti-Israel / ground-presence framing,https://x.com/ME_Observer_/status/2019067964146827304,20400,17,102,457,,Border villages / erased villages,"Frames Lebanese civilians returning to mobile homes near erased border villages as a land-presence act against eventual occupation.","Indexed X page exposed visible metrics."
2026-03-04,ELINT News,ELINTNews,English,OSINT / threat report,https://x.com/ELINTNews/status/2029240996869833000,,5,22,72,,Northern Israel / munitions,"Says Hezbollah appears to have used cluster munition warheads on northern Israel.","Indexed engagement exposed but not views."
